Instance,NodeIndex
0,1
0,5
0,24
0,35
0,48
0,52
0,55
0,66
0,67
0,70
0,71
0,72
0,73
0,81
0,97
0,149
0,151
0,153
0,170
0,180
0,184
0,190
0,200
0,211
0,212
0,214
0,218
0,254
0,266
0,287
0,296
0,297
1,0
1,9
1,14
1,15
1,16
1,22
1,28
1,36
1,41
1,44
1,47
1,48
1,53
1,56
1,59
1,61
1,66
1,71
1,73
1,80
1,82
1,85
1,86
1,91
1,95
1,98
1,112
1,114
1,116
1,125
1,126
1,138
1,139
1,140
1,151
1,153
1,154
1,163
1,166
1,181
1,185
1,191
1,197
1,212
1,213
1,219
1,229
1,245
1,249
1,250
1,252
1,259
1,260
1,262
1,264
1,266
1,270
1,277
1,278
1,280
1,287
1,291
1,296
